sample_id,fast5_archive,protocol,assembly,provider,upstream_file,downstream_file
SGNex_HepG2_cDNA_replicate1_run4,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_cDNA_replicate1_run4/SGNex_HepG2_cDNA_replicate1_run4.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_cDNAStranded_replicate4_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_cDNAStranded_replicate4_run3/SGNex_HepG2_cDNAStranded_replicate4_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_cDNAStranded_replicate5_run4,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_cDNAStranded_replicate5_run4/SGNex_HepG2_cDNAStranded_replicate5_run4.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directcDNA_replicate1_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directcDNA_replicate1_run1/SGNex_HepG2_directcDNA_replicate1_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directcDNA_replicate1_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directcDNA_replicate1_run2/SGNex_HepG2_directcDNA_replicate1_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directcDNA_replicate4_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directcDNA_replicate4_run1/SGNex_HepG2_directcDNA_replicate4_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directcDNA_replicate4_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directcDNA_replicate4_run2/SGNex_HepG2_directcDNA_replicate4_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directRNA_replicate1_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directRNA_replicate1_run3/SGNex_HepG2_directRNA_replicate1_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directRNA_replicate2_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directRNA_replicate2_run1/SGNex_HepG2_directRNA_replicate2_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directRNA_replicate3_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directRNA_replicate3_run1/SGNex_HepG2_directRNA_replicate3_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directRNA_replicate5_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directRNA_replicate5_run1/SGNex_HepG2_directRNA_replicate5_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directRNA_replicate5_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directRNA_replicate5_run2/SGNex_HepG2_directRNA_replicate5_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HepG2_directRNA_replicate6_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HepG2_directRNA_replicate6_run1/SGNex_HepG2_directRNA_replicate6_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HEYA8_cDNA_replicate1_run4,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HEYA8_cDNA_replicate1_run4/SGNex_HEYA8_cDNA_replicate1_run4.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_HEYA8_cDNA_replicate2_run4,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_HEYA8_cDNA_replicate2_run4/SGNex_HEYA8_cDNA_replicate2_run4.tar.gz,Promethion,GRCh38.p14,Ensembl,,
